,token,dependency,head,dependent,constituent,paths
405,at,conj,increased,['rate'],"['at', 'a', 'much', 'lower', 'rate', 'compared', 'to', 'the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']","['S', ',']"
406,a,det,rate,[],['a'],"['S', 'CC']"
407,much,advmod,lower,[],['much'],"['S', 'S', 'PP', 'IN']"
408,lower,amod,rate,['much'],"['much', 'lower']","['S', 'S', 'PP', 'NP', 'DT']"
409,rate,pobj,at,"['a', 'lower', 'compared']","['a', 'much', 'lower', 'rate', 'compared', 'to', 'the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']","['S', 'S', 'PP', 'NP', 'ADJP', 'RB']"
410,compared,prep,rate,['to'],"['compared', 'to', 'the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']","['S', 'S', 'PP', 'NP', 'ADJP', 'JJR']"
411,to,prep,compared,['numbers'],"['to', 'the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']","['S', 'S', 'PP', 'NP', 'NN']"
412,the,det,numbers,[],['the'],"['S', 'S', 'PP', 'VBN']"
413,enormous,amod,numbers,[],['enormous'],"['S', 'S', 'PP', 'PP', 'IN']"
414,numbers,pobj,to,"['the', 'enormous', 'of']","['the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']","['S', 'S', 'PP', 'PP', 'NP', 'NP', 'DT']"
415,of,prep,numbers,['infections'],"['of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']","['S', 'S', 'PP', 'PP', 'NP', 'NP', 'JJ']"
416,positive,amod,infections,[],['positive'],"['S', 'S', 'PP', 'PP', 'NP', 'NP', 'NNS']"
417,infections,pobj,of,"['positive', 'linked']","['positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']","['S', 'S', 'PP', 'PP', 'NP', 'PP', 'IN']"
418,linked,acl,infections,['to'],"['linked', 'to', 'the', 'Omicron', 'virus']","['S', 'S', 'PP', 'PP', 'NP', 'PP', 'NP', 'NP', 'JJ']"
419,to,prep,linked,['virus'],"['to', 'the', 'Omicron', 'virus']","['S', 'S', 'PP', 'PP', 'NP', 'PP', 'NP', 'NP', 'NNS']"
420,the,det,virus,[],['the'],"['S', 'S', 'PP', 'PP', 'NP', 'PP', 'NP', 'VP', 'VBN']"
421,Omicron,compound,virus,[],['Omicron'],"['S', 'S', 'PP', 'PP', 'NP', 'PP', 'NP', 'VP', 'PP', 'IN']"
422,virus,pobj,to,"['the', 'Omicron']","['the', 'Omicron', 'virus']","['S', 'S', 'PP', 'PP', 'NP', 'PP', 'NP', 'VP', 'PP', 'NP', 'DT']"
423,.,punct,increased,[],['.'],"['S', 'S', 'PP', 'PP', 'NP', 'PP', 'NP', 'VP', 'PP', 'NP', 'NNP']"
425,"""",punct,is,[],"['""']","['S', 'S', 'PP', 'PP', 'NP', 'PP', 'NP', 'VP', 'PP', 'NP', 'NN']"
426,The,det,number,[],['The'],"['S', '.']"
427,number,nsubj,is,"['The', 'of']","['The', 'number', 'of', 'infections']","['S', 'SBAR', '``']"
428,of,prep,number,['infections'],"['of', 'infections']","['S', 'SBAR', 'S', 'NP', 'NP', 'DT']"
429,infections,pobj,of,[],['infections'],"['S', 'SBAR', 'S', 'NP', 'NP', 'NN']"
430,is,ccomp,said,"['""', 'number', 'high', ',', 'but', 'is']","['""', 'The', 'number', 'of', 'infections', 'is', 'very', 'high', ',', 'but', 'fortunately', 'the', 'pressure', 'on', 'healthcare', 'is', 'not', 'too', 'bad']","['S', 'SBAR', 'S', 'NP', 'PP', 'IN']"
431,very,advmod,high,[],['very'],"['S', 'SBAR', 'S', 'NP', 'PP', 'NP', 'NNS']"
432,high,acomp,is,['very'],"['very', 'high']","['S', 'SBAR', 'S', 'VP', 'VBZ']"
433,",",punct,is,[],"[',']","['S', 'SBAR', 'S', 'VP', 'ADJP', 'RB']"
434,but,cc,is,[],['but'],"['S', 'SBAR', 'S', 'VP', 'ADJP', 'JJ']"
435,fortunately,advmod,is,[],['fortunately'],"['S', ',']"
436,the,det,pressure,[],['the'],"['S', 'CC']"
437,pressure,nsubj,is,"['the', 'on']","['the', 'pressure', 'on', 'healthcare']","['S', 'ADVP', 'RB']"
438,on,prep,pressure,['healthcare'],"['on', 'healthcare']","['S', 'S', 'NP', 'NP', 'DT']"
439,healthcare,pobj,on,[],['healthcare'],"['S', 'S', 'NP', 'NP', 'NN']"
440,is,conj,is,"['fortunately', 'pressure', 'not', 'bad']","['fortunately', 'the', 'pressure', 'on', 'healthcare', 'is', 'not', 'too', 'bad']","['S', 'S', 'NP', 'PP', 'IN']"
441,not,neg,is,[],['not'],"['S', 'S', 'NP', 'PP', 'NP', 'NN']"
442,too,advmod,bad,[],['too'],"['S', 'S', 'VP', 'VBZ']"
443,bad,acomp,is,['too'],"['too', 'bad']","['S', 'S', 'VP', 'RB']"
444,",",punct,said,[],"[',']","['S', 'S', 'VP', 'ADJP', 'RB']"
445,"""",punct,said,[],"['""']","['S', 'S', 'VP', 'ADJP', 'JJ']"
446,said,ROOT,said,"['is', ',', '""', 'Kuipers', 'on', '.']","['""', 'The', 'number', 'of', 'infections', 'is', 'very', 'high', ',', 'but', 'fortunately', 'the', 'pressure', 'on', 'healthcare', 'is', 'not', 'too', 'bad', ',', '""', 'said', 'Health', 'Minister', 'Ernst', 'Kuipers', 'on', 'Wednesday', '.']","['S', ',']"
447,Health,compound,Minister,[],['Health'],"['S', ""''""]"
448,Minister,compound,Kuipers,['Health'],"['Health', 'Minister']","['S', 'SINV', 'VP', 'VBD']"
449,Ernst,compound,Kuipers,[],['Ernst'],"['S', 'SINV', 'NP', 'NML', 'NNP']"
450,Kuipers,nsubj,said,"['Minister', 'Ernst']","['Health', 'Minister', 'Ernst', 'Kuipers']","['S', 'SINV', 'NP', 'NML', 'NNP']"
451,on,prep,said,['Wednesday'],"['on', 'Wednesday']","['S', 'SINV', 'NP', 'NNP']"
452,Wednesday,pobj,on,[],['Wednesday'],"['S', 'SINV', 'NP', 'NNP']"
453,.,punct,said,[],['.'],"['S', 'SINV', 'PP', 'IN']"
455,Cabinet,compound,members,[],['Cabinet'],"['S', 'SINV', 'PP', 'NP', 'NNP']"
456,members,nsubj,want,['Cabinet'],"['Cabinet', 'members']","['S', '.']"
457,did,aux,want,[],['did'],"['S', 'NP', 'NN']"
458,not,neg,want,[],['not'],"['S', 'NP', 'NNS']"
459,want,ROOT,want,"['\n', 'members', 'did', 'not', 'anticipate', '.']","['\n', 'Cabinet', 'members', 'did', 'not', 'want', 'to', 'publicly', 'anticipate', 'any', 'relaxations', '.']","['S', 'VP', 'VBD']"
460,to,aux,anticipate,[],['to'],"['S', 'VP', 'RB']"
461,publicly,advmod,anticipate,[],['publicly'],"['S', 'VP', 'VP', 'VB']"
462,anticipate,xcomp,want,"['to', 'publicly', 'relaxations']","['to', 'publicly', 'anticipate', 'any', 'relaxations']","['S', 'VP', 'VP', 'S', 'VP', 'TO']"
463,any,det,relaxations,[],['any'],"['S', 'VP', 'VP', 'S', 'VP', 'ADVP', 'RB']"
464,relaxations,dobj,anticipate,['any'],"['any', 'relaxations']","['S', 'VP', 'VP', 'S', 'VP', 'VP', 'VB']"
465,.,punct,want,[],['.'],"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'NP', 'DT']"
467,Prime,compound,Minister,[],['Prime'],"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'NP', 'NNS']"
468,Minister,compound,Rutte,['Prime'],"['Prime', 'Minister']","['S', '.']"
469,Mark,compound,Rutte,[],['Mark'],"['S', 'NP', 'NML', 'NNP']"
470,Rutte,nsubj,said,"['Minister', 'Mark']","['Prime', 'Minister', 'Mark', 'Rutte']","['S', 'NP', 'NML', 'NNP']"
471,said,ROOT,said,"['\n', 'Rutte', 'on', 'is', '.']","['\n', 'Prime', 'Minister', 'Mark', 'Rutte', 'said', 'on', 'Wednesday', 'that', 'the', 'chance', 'is', '""', 'really', 'high', '""', 'that', 'loosening', 'up', 'restrictions', 'will', 'be', 'possible', '.']","['S', 'NP', 'NNP']"
472,on,prep,said,['Wednesday'],"['on', 'Wednesday']","['S', 'NP', 'NNP']"
473,Wednesday,pobj,on,[],['Wednesday'],"['S', 'VP', 'VBD']"
474,that,mark,is,[],['that'],"['S', 'VP', 'PP', 'IN']"
475,the,det,chance,[],['the'],"['S', 'VP', 'PP', 'NP', 'NNP']"
476,chance,nsubj,is,['the'],"['the', 'chance']","['S', 'VP', 'SBAR', 'IN']"
477,is,ccomp,said,"['that', 'chance', '""', 'high', 'be']","['that', 'the', 'chance', 'is', '""', 'really', 'high', '""', 'that', 'loosening', 'up', 'restrictions', 'will', 'be', 'possible']","['S', 'VP', 'SBAR', 'S', 'NP', 'DT']"
478,"""",punct,is,[],"['""']","['S', 'VP', 'SBAR', 'S', 'NP', 'NN']"
479,really,advmod,high,[],['really'],"['S', 'VP', 'SBAR', 'S', 'VP', 'VBZ']"
480,high,acomp,is,"['really', '""']","['really', 'high', '""']","['S', 'VP', 'SBAR', 'S', 'VP', 'ADVP', '``']"
481,"""",punct,high,[],"['""']","['S', 'VP', 'SBAR', 'S', 'VP', 'ADJP', 'ADJP', 'RB']"
482,that,nsubj,be,[],['that'],"['S', 'VP', 'SBAR', 'S', 'VP', 'ADJP', 'ADJP', 'JJ']"
483,loosening,csubj,be,"['up', 'restrictions']","['loosening', 'up', 'restrictions']","['S', 'VP', 'SBAR', 'S', 'VP', 'ADJP', ""''""]"
484,up,prt,loosening,[],['up'],"['S', 'VP', 'SBAR', 'S', 'VP', 'ADJP', 'SBAR', 'IN']"
485,restrictions,dobj,loosening,[],['restrictions'],"['S', 'VP', 'SBAR', 'S', 'VP', 'ADJP', 'SBAR', 'S', 'S', 'VP', 'VBG']"
486,will,aux,be,[],['will'],"['S', 'VP', 'SBAR', 'S', 'VP', 'ADJP', 'SBAR', 'S', 'S', 'VP', 'PRT', 'RP']"
487,be,ccomp,is,"['that', 'loosening', 'will', 'possible']","['that', 'loosening', 'up', 'restrictions', 'will', 'be', 'possible']","['S', 'VP', 'SBAR', 'S', 'VP', 'ADJP', 'SBAR', 'S', 'S', 'VP', 'NP', 'NNS']"
488,possible,acomp,be,[],['possible'],"['S', 'VP', 'SBAR', 'S', 'VP', 'ADJP', 'SBAR', 'S', 'VP', 'MD']"
489,.,punct,said,[],['.'],"['S', 'VP', 'SBAR', 'S', 'VP', 'ADJP', 'SBAR', 'S', 'VP', 'VP', 'VB']"
491,Cabinet,compound,ministers,[],['Cabinet'],"['S', 'VP', 'SBAR', 'S', 'VP', 'ADJP', 'SBAR', 'S', 'VP', 'VP', 'ADJP', 'JJ']"
492,ministers,nsubj,met,['Cabinet'],"['Cabinet', 'ministers']","['S', '.']"
493,met,ROOT,met,"['\n', 'ministers', 'for', 'on', ',', 'and', 'meet']","['\n', 'Cabinet', 'ministers', 'met', 'for', 'an', 'extra', 'meeting', 'about', 'the', 'coronavirus', 'policy', 'on', 'Wednesday', 'morning', ',', 'and', 'the', 'OMT', 'will', 'meet', 'again', 'to', 'discuss', 'the', 'issue', 'on', 'Friday', '.']","['S', 'S', 'NP', 'NN']"
494,for,prep,met,['meeting'],"['for', 'an', 'extra', 'meeting', 'about', 'the', 'coronavirus', 'policy']","['S', 'S', 'NP', 'NNS']"
495,an,det,meeting,[],['an'],"['S', 'S', 'VP', 'VBD']"
496,extra,amod,meeting,[],['extra'],"['S', 'S', 'VP', 'PP', 'IN']"
497,meeting,pobj,for,"['an', 'extra', 'about']","['an', 'extra', 'meeting', 'about', 'the', 'coronavirus', 'policy']","['S', 'S', 'VP', 'PP', 'NP', 'NP', 'DT']"
498,about,prep,meeting,['policy'],"['about', 'the', 'coronavirus', 'policy']","['S', 'S', 'VP', 'PP', 'NP', 'NP', 'JJ']"
499,the,det,policy,[],['the'],"['S', 'S', 'VP', 'PP', 'NP', 'NP', 'NN']"
500,coronavirus,compound,policy,[],['coronavirus'],"['S', 'S', 'VP', 'PP', 'NP', 'PP', 'IN']"
501,policy,pobj,about,"['the', 'coronavirus']","['the', 'coronavirus', 'policy']","['S', 'S', 'VP', 'PP', 'NP', 'PP', 'NP', 'DT']"
502,on,prep,met,['morning'],"['on', 'Wednesday', 'morning']","['S', 'S', 'VP', 'PP', 'NP', 'PP', 'NP', 'NN']"
503,Wednesday,compound,morning,[],['Wednesday'],"['S', 'S', 'VP', 'PP', 'NP', 'PP', 'NP', 'NN']"
504,morning,pobj,on,['Wednesday'],"['Wednesday', 'morning']","['S', 'S', 'VP', 'PP', 'NP', 'PP', 'IN']"
505,",",punct,met,[],"[',']","['S', 'S', 'VP', 'PP', 'NP', 'PP', 'NP', 'NNP']"
506,and,cc,met,[],['and'],"['S', 'S', 'VP', 'PP', 'NP', 'PP', 'NP', 'NN']"
507,the,det,OMT,[],['the'],"['S', ',']"
508,OMT,nsubj,meet,['the'],"['the', 'OMT']","['S', 'CC']"
509,will,aux,meet,[],['will'],"['S', 'S', 'NP', 'DT']"
510,meet,conj,met,"['OMT', 'will', 'again', 'discuss', '.']","['the', 'OMT', 'will', 'meet', 'again', 'to', 'discuss', 'the', 'issue', 'on', 'Friday', '.']","['S', 'S', 'NP', 'NNP']"
511,again,advmod,meet,[],['again'],"['S', 'S', 'VP', 'MD']"
512,to,aux,discuss,[],['to'],"['S', 'S', 'VP', 'VP', 'VB']"
513,discuss,advcl,meet,"['to', 'issue', 'on']","['to', 'discuss', 'the', 'issue', 'on', 'Friday']","['S', 'S', 'VP', 'VP', 'ADVP', 'RB']"
514,the,det,issue,[],['the'],"['S', 'S', 'VP', 'VP', 'S', 'VP', 'TO']"
515,issue,dobj,discuss,['the'],"['the', 'issue']","['S', 'S', 'VP', 'VP', 'S', 'VP', 'VP', 'VB']"
516,on,prep,discuss,['Friday'],"['on', 'Friday']","['S', 'S', 'VP', 'VP', 'S', 'VP', 'VP', 'NP', 'DT']"
517,Friday,pobj,on,[],['Friday'],"['S', 'S', 'VP', 'VP', 'S', 'VP', 'VP', 'NP', 'NN']"
518,.,punct,meet,[],['.'],"['S', 'S', 'VP', 'VP', 'S', 'VP', 'VP', 'PP', 'IN']"
520,Rutte,nsubj,said,[],['Rutte'],"['S', 'S', 'VP', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'NNP']"
521,said,ccomp,said,"['\n', 'Rutte', 'inform']","['\n', 'Rutte', 'said', 'the', 'Cabinet', 'could', 'inform', 'the', 'Tweede', 'Kamer', 'about', 'what', 'it', ""'s"", 'considering', 'even', 'before', 'the', 'weekend', ',', '""', 'a', 'sort', 'of', ""'"", 'what', 'could', 'be', ""'"", 'package', '""', 'of', 'measures']","['S', '.']"
522,the,det,Cabinet,[],['the'],"['S', 'S', 'NP', 'NNP']"
523,Cabinet,nsubj,inform,['the'],"['the', 'Cabinet']","['S', 'S', 'VP', 'VBD']"
524,could,aux,inform,[],['could'],"['S', 'S', 'VP', 'SBAR', 'S', 'NP', 'DT']"
525,inform,ccomp,said,"['Cabinet', 'could', 'Kamer', 'about', ',', 'sort']","['the', 'Cabinet', 'could', 'inform', 'the', 'Tweede', 'Kamer', 'about', 'what', 'it', ""'s"", 'considering', 'even', 'before', 'the', 'weekend', ',', '""', 'a', 'sort', 'of', ""'"", 'what', 'could', 'be', ""'"", 'package', '""', 'of', 'measures']","['S', 'S', 'VP', 'SBAR', 'S', 'NP', 'NNP']"
526,the,det,Kamer,[],['the'],"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'MD']"
527,Tweede,compound,Kamer,[],['Tweede'],"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VB']"
528,Kamer,dobj,inform,"['the', 'Tweede']","['the', 'Tweede', 'Kamer']","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'NP', 'DT']"
529,about,prep,inform,['considering'],"['about', 'what', 'it', ""'s"", 'considering', 'even', 'before', 'the', 'weekend']","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'NP', 'NNP']"
530,what,dobj,considering,[],['what'],"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'NP', 'NNP']"
531,it,nsubj,considering,[],['it'],"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'IN']"
532,'s,aux,considering,[],"[""'s""]","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'SBAR', 'WHNP', 'WP']"
533,considering,pcomp,about,"['what', 'it', ""'s"", 'before']","['what', 'it', ""'s"", 'considering', 'even', 'before', 'the', 'weekend']","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'SBAR', 'S', 'NP', 'PRP']"
534,even,advmod,before,[],['even'],"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'SBAR', 'S', 'VP', 'VBZ']"
535,before,prep,considering,"['even', 'weekend']","['even', 'before', 'the', 'weekend']","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'SBAR', 'S', 'VP', 'VP', 'VBG']"
536,the,det,weekend,[],['the'],"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'ADVP', 'RB']"
537,weekend,pobj,before,['the'],"['the', 'weekend']","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'IN']"
538,",",punct,inform,[],"[',']","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'DT']"
539,"""",punct,sort,[],"['""']","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'NN']"
540,a,det,sort,[],['a'],"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', ',']"
541,sort,dobj,inform,"['""', 'a', 'of']","['""', 'a', 'sort', 'of', ""'"", 'what', 'could', 'be', ""'"", 'package', '""', 'of', 'measures']","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', '``']"
542,of,prep,sort,"[""'"", 'be']","['of', ""'"", 'what', 'could', 'be', ""'"", 'package', '""', 'of', 'measures']","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'NP', 'DT']"
543,',punct,of,[],"[""'""]","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'NP', 'NN']"
544,what,nsubj,be,[],['what'],"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'PP', 'IN']"
545,could,aux,be,[],['could'],"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'PP', 'NP', '``']"
546,be,pcomp,of,"['what', 'could', 'package']","['what', 'could', 'be', ""'"", 'package', '""', 'of', 'measures']","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'SBAR', 'WHNP', 'WP']"
547,',punct,package,[],"[""'""]","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'MD']"
548,package,attr,be,"[""'"", '""', 'of']","[""'"", 'package', '""', 'of', 'measures']","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'VP', 'VB']"
549,"""",punct,package,[],"['""']","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'VP', '``']"
550,of,prep,package,['measures'],"['of', 'measures']","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'VP', 'NP', 'NP', 'NN']"
551,measures,pobj,of,[],['measures'],"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'VP', 'NP', 'PP', ""''""]"
552,",",punct,said,[],"[',']","['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'VP', 'NP', 'PP', 'PP', 'IN']"
553,he,nsubj,said,[],['he'],"['S', 'S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'VP', 'NP', 'PP', 'PP', 'NP', 'NNS']"
554,said,ROOT,said,"['said', ',', 'he', '.']","['\n', 'Rutte', 'said', 'the', 'Cabinet', 'could', 'inform', 'the', 'Tweede', 'Kamer', 'about', 'what', 'it', ""'s"", 'considering', 'even', 'before', 'the', 'weekend', ',', '""', 'a', 'sort', 'of', ""'"", 'what', 'could', 'be', ""'"", 'package', '""', 'of', 'measures', ',', 'he', 'said', '.']","['S', ',']"
555,.,punct,said,[],['.'],"['S', 'NP', 'PRP']"
557,In,prep,have,['addition'],"['In', 'addition']","['S', 'VP', 'VBD']"
558,addition,pobj,In,[],['addition'],"['S', '.']"
559,",",punct,have,[],"[',']","['S', 'PP', 'IN']"
560,the,det,Cabinet,[],['the'],"['S', 'PP', 'NP', 'NN']"
561,Cabinet,nsubj,have,['the'],"['the', 'Cabinet']","['S', ',']"
562,will,aux,have,[],['will'],"['S', 'NP', 'DT']"
563,have,ROOT,have,"['\n', 'In', ',', 'Cabinet', 'will', 'make', ',', 'sees', '.']","['\n', 'In', 'addition', ',', 'the', 'Cabinet', 'will', 'have', 'to', 'make', 'it', 'clear', 'that', 'all', 'these', 'relaxations', 'may', 'not', 'be', 'implemented', ',', 'particularly', 'if', 'the', 'OMT', 'sees', 'a', 'problem', 'with', 'the', 'proposal', '.']","['S', 'NP', 'NNP']"
564,to,aux,make,[],['to'],"['S', 'VP', 'MD']"
565,make,xcomp,have,"['to', 'clear']","['to', 'make', 'it', 'clear', 'that', 'all', 'these', 'relaxations', 'may', 'not', 'be', 'implemented']","['S', 'VP', 'VP', 'VB']"
566,it,nsubj,clear,[],['it'],"['S', 'VP', 'VP', 'S', 'VP', 'TO']"
567,clear,ccomp,make,"['it', 'implemented']","['it', 'clear', 'that', 'all', 'these', 'relaxations', 'may', 'not', 'be', 'implemented']","['S', 'VP', 'VP', 'S', 'VP', 'VP', 'VB']"
568,that,mark,implemented,[],['that'],"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'S', 'NP', 'NP', 'PRP']"
569,all,predet,relaxations,[],['all'],"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'S', 'ADJP', 'JJ']"
570,these,det,relaxations,[],['these'],"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'S', 'SBAR', 'IN']"
571,relaxations,nsubjpass,implemented,"['all', 'these']","['all', 'these', 'relaxations']","['S', 'VP', 'VP', 'S', 'VP', 'VP', 'S', 'SBAR', 'S', 'NP', 'PDT']"
572,may,aux,implemented,[],['may'],"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'S', 'SBAR', 'S', 'NP', 'DT']"
573,not,neg,implemented,[],['not'],"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'S', 'SBAR', 'S', 'NP', 'NNS']"
574,be,auxpass,implemented,[],['be'],"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'S', 'SBAR', 'S', 'VP', 'MD']"
575,implemented,advcl,clear,"['that', 'relaxations', 'may', 'not', 'be']","['that', 'all', 'these', 'relaxations', 'may', 'not', 'be', 'implemented']","['S', 'VP', 'VP', 'S', 'VP', 'VP', 'S', 'SBAR', 'S', 'VP', 'RB']"
576,",",punct,have,[],"[',']","['S', 'VP', 'VP', 'S', 'VP', 'VP', 'S', 'SBAR', 'S', 'VP', 'VP', 'VB']"
577,particularly,advmod,sees,[],['particularly'],"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'S', 'SBAR', 'S', 'VP', 'VP', 'VP', 'VBN']"
578,if,mark,sees,[],['if'],"['S', 'VP', 'VP', ',']"
579,the,det,OMT,[],['the'],"['S', 'VP', 'VP', 'SBAR', 'ADVP', 'RB']"
580,OMT,nsubj,sees,['the'],"['the', 'OMT']","['S', 'VP', 'VP', 'SBAR', 'IN']"
581,sees,advcl,have,"['particularly', 'if', 'OMT', 'problem']","['particularly', 'if', 'the', 'OMT', 'sees', 'a', 'problem', 'with', 'the', 'proposal']","['S', 'VP', 'VP', 'SBAR', 'S', 'NP', 'DT']"
582,a,det,problem,[],['a'],"['S', 'VP', 'VP', 'SBAR', 'S', 'NP', 'NNP']"
583,problem,dobj,sees,"['a', 'with']","['a', 'problem', 'with', 'the', 'proposal']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'VBZ']"
584,with,prep,problem,['proposal'],"['with', 'the', 'proposal']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'NP', 'DT']"
585,the,det,proposal,[],['the'],"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'NP', 'NN']"
586,proposal,pobj,with,['the'],"['the', 'proposal']","['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'PP', 'IN']"
587,.,punct,have,[],['.'],"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'PP', 'NP', 'DT']"
589,Anything,nsubj,taken,[],['Anything'],"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'PP', 'NP', 'NN']"
590,taken,csubjpass,made,"['Anything', 'off', 'table', 'in']","['Anything', 'taken', 'off', 'the', 'table', 'in', 'the', 'interim']","['S', '.']"
591,off,prt,taken,[],['off'],"['S', 'NP', 'NP', 'NN']"
592,the,det,table,[],['the'],"['S', 'NP', 'VP', 'VBN']"
593,table,dobj,taken,['the'],"['the', 'table']","['S', 'NP', 'VP', 'PRT', 'IN']"
594,in,prep,taken,['interim'],"['in', 'the', 'interim']","['S', 'NP', 'VP', 'NP', 'DT']"
595,the,det,interim,[],['the'],"['S', 'NP', 'VP', 'NP', 'NN']"
596,interim,pobj,in,['the'],"['the', 'interim']","['S', 'NP', 'VP', 'PP', 'IN']"
597,will,aux,made,[],['will'],"['S', 'NP', 'VP', 'PP', 'NP', 'DT']"
598,be,auxpass,made,[],['be'],"['S', 'NP', 'VP', 'PP', 'NP', 'NN']"
599,made,ROOT,made,"['\n', 'taken', 'will', 'be', 'clear', 'on', '.']","['\n', 'Anything', 'taken', 'off', 'the', 'table', 'in', 'the', 'interim', 'will', 'be', 'made', 'clear', 'on', 'Tuesday', '.']","['S', 'VP', 'MD']"
600,clear,oprd,made,[],['clear'],"['S', 'VP', 'VP', 'VB']"
601,on,prep,made,['Tuesday'],"['on', 'Tuesday']","['S', 'VP', 'VP', 'VP', 'VBN']"
602,Tuesday,pobj,on,[],['Tuesday'],"['S', 'VP', 'VP', 'VP', 'S', 'ADJP', 'JJ']"
603,.,punct,made,[],['.'],"['S', 'VP', 'VP', 'VP', 'PP', 'IN']"
605,Far,advmod,reaching,[],['Far'],"['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NNP']"
606,-,punct,reaching,[],['-'],"['S', '.']"
607,reaching,amod,elimination,"['Far', '-']","['Far', '-', 'reaching']","['S', 'NP', 'NP', 'JJ']"
608,elimination,nsubjpass,announced,"['reaching', 'of']","['Far', '-', 'reaching', 'elimination', 'of', 'restrictions']","['S', 'NP', 'NP', 'NN']"
609,of,prep,elimination,['restrictions'],"['of', 'restrictions']","['S', 'NP', 'PP', 'IN']"
610,restrictions,pobj,of,[],['restrictions'],"['S', 'NP', 'PP', 'NP', 'NNS']"
611,will,aux,announced,[],['will'],"['S', 'VP', 'MD']"
